,rst_name,weekday,hours,platform
4,대동집 건대점,04.04 (목),영업시간: 17:00 - 02:00,1
5,대동집 건대점,04.05 (금),영업시간: 17:00 - 02:00,1
6,대동집 건대점,04.06 (토),영업시간: 17:00 - 04:00,1
0,포크포크,[오늘] 03.31 (일),영업시간: 11:00 - 21:00,1
1,포크포크,04.01 (월),영업시간: 11:00 - 21:00,1
2,,,,
3,포크포크,04.02 (화),영업시간: 11:00 - 21:00,1
4,,,,
5,포크포크,04.03 (수),영업시간: 11:00 - 21:00,1
6,,,,
7,포크포크,04.04 (목),영업시간: 11:00 - 21:00,1
8,,,,
9,포크포크,04.05 (금),영업시간: 11:00 - 21:00,1
10,,,,
11,포크포크,04.06 (토),영업시간: 11:00 - 21:00,1
12,,,,
0,홍대돈부리,[오늘] 03.31 (일),영업시간: 11:00 - 21:00,1
1,홍대돈부리,04.01 (월),영업시간: 11:00 - 21:00,1
2,홍대돈부리,04.02 (화),영업시간: 11:00 - 21:00,1
3,홍대돈부리,04.03 (수),영업시간: 11:00 - 21:00,1
4,홍대돈부리,04.04 (목),영업시간: 11:00 - 21:00,1
5,홍대돈부리,04.05 (금),영업시간: 11:00 - 21:00,1
6,홍대돈부리,04.06 (토),휴무일,1
0,포항막회,[오늘] 03.31 (일),영업시간: 16:00 - 02:00,1
1,포항막회,04.01 (월),영업시간: 16:00 - 02:00,1
2,,,,
3,포항막회,04.02 (화),영업시간: 16:00 - 02:00,1
4,,,,
5,포항막회,04.03 (수),영업시간: 16:00 - 02:00,1
6,,,,
7,포항막회,04.04 (목),영업시간: 16:00 - 02:00,1
8,,,,
9,포항막회,04.05 (금),영업시간: 16:00 - 02:00,1
10,,,,
11,포항막회,04.06 (토),영업시간: 16:00 - 02:00,1
12,,,,
0,릴리베이커리,[오늘] 03.31 (일),영업시간: 10:00 - 23:30,1
1,릴리베이커리,04.01 (월),영업시간: 10:00 - 23:30,1
2,릴리베이커리,04.02 (화),영업시간: 10:00 - 23:30,1
3,릴리베이커리,04.03 (수),영업시간: 10:00 - 23:30,1
4,릴리베이커리,04.04 (목),영업시간: 10:00 - 23:30,1
5,릴리베이커리,04.05 (금),영업시간: 10:00 - 23:30,1
6,릴리베이커리,04.06 (토),영업시간: 10:00 - 23:30,1
0,노랑통닭 건대점,[오늘] 03.31 (일),영업시간: 16:00 - 02:00,1
1,노랑통닭 건대점,04.01 (월),영업시간: 16:00 - 02:00,1
2,노랑통닭 건대점,04.02 (화),영업시간: 16:00 - 02:00,1
3,노랑통닭 건대점,04.03 (수),영업시간: 16:00 - 02:00,1
4,노랑통닭 건대점,04.04 (목),영업시간: 16:00 - 02:00,1
5,노랑통닭 건대점,04.05 (금),영업시간: 16:00 - 02:00,1
6,노랑통닭 건대점,04.06 (토),영업시간: 16:00 - 02:00,1
0,돕감자탕,[오늘] 03.31 (일),영업시간: 00:00 - 24:00,1
1,돕감자탕,04.01 (월),영업시간: 00:00 - 24:00,1
2,돕감자탕,04.02 (화),영업시간: 00:00 - 24:00,1
3,돕감자탕,04.03 (수),영업시간: 00:00 - 24:00,1
4,돕감자탕,04.04 (목),영업시간: 00:00 - 24:00,1
5,돕감자탕,04.05 (금),영업시간: 00:00 - 24:00,1
6,돕감자탕,04.06 (토),영업시간: 00:00 - 24:00,1
0,밀피,[오늘] 03.31 (일),영업시간: 12:00 - 23:00,1
1,밀피,04.01 (월),영업시간: 13:00 - 23:00,1
2,,,,
3,밀피,04.02 (화),영업시간: 13:00 - 23:00,1
4,,,,
5,밀피,04.03 (수),영업시간: 13:00 - 23:00,1
6,,,,
7,밀피,04.04 (목),영업시간: 13:00 - 23:00,1
8,,,,
9,밀피,04.05 (금),영업시간: 13:00 - 23:00,1
10,,,,
11,밀피,04.06 (토),영업시간: 12:00 - 23:00,1
12,,,,
0,홍도초밥,[오늘] 03.31 (일),영업시간: 11:30 - 00:00,1
1,홍도초밥,04.01 (월),영업시간: 11:30 - 00:00,1
2,홍도초밥,04.02 (화),영업시간: 11:30 - 00:00,1
3,홍도초밥,04.03 (수),영업시간: 11:30 - 00:00,1
4,홍도초밥,04.04 (목),영업시간: 11:30 - 00:00,1
5,홍도초밥,04.05 (금),영업시간: 11:30 - 00:00,1
6,홍도초밥,04.06 (토),영업시간: 11:30 - 00:00,1
0,육회한연어,[오늘] 03.31 (일),영업시간: 15:30 - 05:00,1
1,육회한연어,04.01 (월),영업시간: 15:30 - 05:00,1
2,육회한연어,04.02 (화),영업시간: 15:30 - 05:00,1
3,육회한연어,04.03 (수),영업시간: 15:30 - 05:00,1
4,육회한연어,04.04 (목),영업시간: 15:30 - 05:00,1
5,육회한연어,04.05 (금),영업시간: 15:30 - 05:00,1
6,육회한연어,04.06 (토),영업시간: 15:30 - 05:00,1
0,강경수참치,[오늘] 03.31 (일),휴무일,1
1,강경수참치,04.01 (월),영업시간: 17:30 - 11:00,1
2,강경수참치,04.02 (화),영업시간: 17:30 - 11:00,1
3,강경수참치,04.03 (수),영업시간: 17:30 - 11:00,1
4,강경수참치,04.04 (목),영업시간: 17:30 - 11:00,1
5,강경수참치,04.05 (금),영업시간: 17:30 - 11:00,1
6,강경수참치,04.06 (토),영업시간: 17:30 - 11:00,1
0,테라코타,[오늘] 03.31 (일),영업시간 확인 필요,1
1,테라코타,04.01 (월),확인 필요,1
2,테라코타,04.02 (화),확인 필요,1
3,테라코타,04.03 (수),확인 필요,1
4,테라코타,04.04 (목),확인 필요,1
5,테라코타,04.05 (금),확인 필요,1
6,테라코타,04.06 (토),확인 필요,1
0,무이,[오늘] 03.31 (일),영업시간 확인 필요,1
1,무이,04.01 (월),확인 필요,1
2,무이,04.02 (화),확인 필요,1
3,무이,04.03 (수),확인 필요,1
4,무이,04.04 (목),확인 필요,1
5,무이,04.05 (금),확인 필요,1
6,무이,04.06 (토),확인 필요,1
0,쭈꾸미킹,[오늘] 03.31 (일),영업시간: 11:00 - 22:00,1
1,쭈꾸미킹,04.01 (월),영업시간: 11:00 - 22:00,1
2,,,,
3,쭈꾸미킹,04.02 (화),영업시간: 11:00 - 22:00,1
4,,,,
5,쭈꾸미킹,04.03 (수),영업시간: 11:00 - 22:00,1
6,,,,
7,쭈꾸미킹,04.04 (목),영업시간: 11:00 - 22:00,1
8,,,,
9,쭈꾸미킹,04.05 (금),영업시간: 11:00 - 22:00,1
10,,,,
11,쭈꾸미킹,04.06 (토),영업시간: 11:00 - 22:00,1
12,,,,
0,마우스래빗,[오늘] 03.31 (일),영업시간: 12:00 - 23:00,1
1,마우스래빗,04.01 (월),영업시간: 12:00 - 23:00,1
2,마우스래빗,04.02 (화),영업시간: 12:00 - 23:00,1
3,마우스래빗,04.03 (수),영업시간: 12:00 - 23:00,1
4,마우스래빗,04.04 (목),영업시간: 12:00 - 23:00,1
5,마우스래빗,04.05 (금),영업시간: 12:00 - 23:00,1
6,마우스래빗,04.06 (토),영업시간: 12:00 - 23:00,1
0,순곱이네 건대점,[오늘] 03.31 (일),휴무일,1
1,순곱이네 건대점,04.01 (월),영업시간: 17:00 - 01:30,1
2,순곱이네 건대점,04.02 (화),영업시간: 17:00 - 01:30,1
3,순곱이네 건대점,04.03 (수),영업시간: 17:00 - 01:30,1
4,순곱이네 건대점,04.04 (목),영업시간: 17:00 - 01:30,1
5,순곱이네 건대점,04.05 (금),영업시간: 17:00 - 01:30,1
6,순곱이네 건대점,04.06 (토),휴무일,1
