,rst_name,weekday,hours,platform
6,열매제과점,04.07 (일),영업시간: 12:00 - 20:00,1
0,카페 미뇽 건대점,[오늘] 04.01 (월),영업시간: 11:00 - 23:00,1
1,카페 미뇽 건대점,04.02 (화),영업시간: 11:00 - 23:00,1
2,카페 미뇽 건대점,04.03 (수),영업시간: 11:00 - 23:00,1
3,카페 미뇽 건대점,04.04 (목),영업시간: 11:00 - 23:00,1
4,카페 미뇽 건대점,04.05 (금),영업시간: 11:00 - 23:00,1
5,카페 미뇽 건대점,04.06 (토),영업시간: 11:00 - 23:00,1
6,카페 미뇽 건대점,04.07 (일),영업시간: 11:00 - 23:00,1
0,컨딩커피,[오늘] 04.01 (월),영업시간: 11:00 - 20:00,1
1,컨딩커피,04.02 (화),영업시간: 11:00 - 20:00,1
2,컨딩커피,04.03 (수),영업시간: 11:00 - 20:00,1
3,컨딩커피,04.04 (목),영업시간: 11:00 - 20:00,1
4,컨딩커피,04.05 (금),영업시간: 11:00 - 20:00,1
5,컨딩커피,04.06 (토),영업시간: 11:00 - 20:00,1
6,컨딩커피,04.07 (일),휴무일,1
0,597카페,[오늘] 04.01 (월),영업시간: 11:00 - 23:00,1
1,597카페,04.02 (화),영업시간: 11:00 - 23:00,1
2,597카페,04.03 (수),영업시간: 11:00 - 23:00,1
3,597카페,04.04 (목),영업시간: 11:00 - 23:00,1
4,597카페,04.05 (금),영업시간: 11:00 - 23:00,1
5,597카페,04.06 (토),영업시간: 11:00 - 23:00,1
6,597카페,04.07 (일),영업시간: 11:00 - 23:00,1
0,르빠니에 블루,[오늘] 04.01 (월),영업시간: 12:00 - 22:00,1
1,르빠니에 블루,04.02 (화),영업시간: 12:00 - 22:00,1
2,르빠니에 블루,04.03 (수),영업시간: 12:00 - 22:00,1
3,르빠니에 블루,04.04 (목),영업시간: 12:00 - 22:00,1
4,르빠니에 블루,04.05 (금),영업시간: 12:00 - 22:00,1
5,르빠니에 블루,04.06 (토),영업시간: 12:00 - 22:00,1
6,르빠니에 블루,04.07 (일),영업시간: 12:00 - 22:00,1
0,오프로드커피,[오늘] 04.01 (월),영업시간: 08:00 - 03:30,1
1,오프로드커피,04.02 (화),영업시간: 08:00 - 03:30,1
2,오프로드커피,04.03 (수),영업시간: 08:00 - 03:30,1
3,오프로드커피,04.04 (목),영업시간: 08:00 - 03:30,1
4,오프로드커피,04.05 (금),영업시간: 08:00 - 03:30,1
5,오프로드커피,04.06 (토),영업시간: 00:00 - 24:00,1
6,오프로드커피,04.07 (일),영업시간: 00:00 - 24:00,1
0,플레이독스,[오늘] 04.01 (월),영업시간: 13:00 - 22:30,1
1,플레이독스,04.02 (화),영업시간: 13:00 - 22:30,1
2,플레이독스,04.03 (수),영업시간: 13:00 - 22:30,1
3,플레이독스,04.04 (목),영업시간: 13:00 - 22:30,1
4,플레이독스,04.05 (금),영업시간: 13:00 - 22:30,1
5,플레이독스,04.06 (토),영업시간: 12:00 - 22:30,1
6,플레이독스,04.07 (일),영업시간: 12:00 - 22:30,1
0,카페게이트 건대점,[오늘] 04.01 (월),영업시간: 08:00 - 22:00,1
1,카페게이트 건대점,04.02 (화),영업시간: 08:00 - 22:00,1
2,카페게이트 건대점,04.03 (수),영업시간: 08:00 - 22:00,1
3,카페게이트 건대점,04.04 (목),영업시간: 08:00 - 22:00,1
4,카페게이트 건대점,04.05 (금),영업시간: 08:00 - 22:00,1
5,카페게이트 건대점,04.06 (토),영업시간: 08:00 - 22:00,1
6,카페게이트 건대점,04.07 (일),영업시간: 09:00 - 22:00,1
0,나따오비까 with 아이파베스 건대2호점,[오늘] 04.01 (월),영업시간: 10:00 - 22:00,1
1,나따오비까 with 아이파베스 건대2호점,04.02 (화),영업시간: 08:00 - 23:00,1
2,나따오비까 with 아이파베스 건대2호점,04.03 (수),영업시간: 08:00 - 23:00,1
3,나따오비까 with 아이파베스 건대2호점,04.04 (목),영업시간: 08:00 - 23:00,1
4,나따오비까 with 아이파베스 건대2호점,04.05 (금),영업시간: 08:00 - 23:00,1
5,나따오비까 with 아이파베스 건대2호점,04.06 (토),영업시간: 09:00 - 23:00,1
6,나따오비까 with 아이파베스 건대2호점,04.07 (일),영업시간: 10:00 - 22:00,1
0,허니크랙,[오늘] 04.01 (월),영업시간: 12:00 - 22:00,1
1,허니크랙,04.02 (화),영업시간: 12:00 - 22:00,1
2,,,,
3,허니크랙,04.03 (수),영업시간: 12:00 - 22:00,1
4,,,,
5,허니크랙,04.04 (목),영업시간: 12:00 - 22:00,1
6,,,,
0,허니크랙,04.05 (금),영업시간: 12:00 - 22:00,1
1,,,,
2,허니크랙,04.06 (토),영업시간: 12:00 - 22:00,1
3,,,,
4,허니크랙,04.07 (일),영업시간: 12:00 - 22:00,1
5,,,,
6,19티 화양동점,[오늘] 04.01 (월),영업시간: 09:00 - 23:00,1
0,19티 화양동점,04.02 (화),영업시간: 09:00 - 23:00,1
1,19티 화양동점,04.03 (수),영업시간: 09:00 - 23:00,1
2,19티 화양동점,04.04 (목),영업시간: 09:00 - 23:00,1
3,19티 화양동점,04.05 (금),영업시간: 09:00 - 23:00,1
4,19티 화양동점,04.06 (토),영업시간: 10:00 - 23:00,1
5,19티 화양동점,04.07 (일),영업시간: 10:00 - 23:00,1
6,르와지르,[오늘] 04.01 (월),휴무일,1
7,르와지르,04.02 (화),휴무일,1
8,르와지르,04.03 (수),영업시간: 11:00 - 19:00,1
9,르와지르,04.04 (목),영업시간: 11:00 - 19:00,1
