,rst_name,weekday,hours,platform
1,시멘트서울,04.02 (화),영업시간: 18:00 - 06:00,1.0
2,,,,
3,시멘트서울,04.03 (수),영업시간: 18:00 - 06:00,1.0
4,,,,
5,시멘트서울,04.04 (목),영업시간: 18:00 - 06:00,1.0
6,,,,
7,시멘트서울,04.05 (금),영업시간: 18:00 - 06:00,1.0
8,,,,
9,시멘트서울,04.06 (토),영업시간: 18:00 - 06:00,1.0
10,,,,
11,시멘트서울,04.07 (일),영업시간: 18:00 - 06:00,1.0
12,,,,
0,포비 본점,[오늘] 04.01 (월),영업시간: 16:00 - 23:00,1.0
1,포비 본점,04.02 (화),영업시간: 16:00 - 23:00,1.0
2,,,,
3,포비 본점,04.03 (수),영업시간: 16:00 - 23:00,1.0
4,,,,
5,포비 본점,04.04 (목),영업시간: 16:00 - 23:00,1.0
6,,,,
7,포비 본점,04.05 (금),영업시간: 16:00 - 23:00,1.0
8,,,,
9,포비 본점,04.06 (토),영업시간: 16:00 - 23:00,1.0
10,,,,
11,포비 본점,04.07 (일),영업시간: 16:00 - 23:00,1.0
12,,,,
0,W주점,[오늘] 04.01 (월),영업시간: 16:00 - 06:00,1
1,W주점,04.02 (화),영업시간: 16:00 - 06:00,1
2,W주점,04.03 (수),영업시간: 16:00 - 06:00,1
3,W주점,04.04 (목),영업시간: 16:00 - 06:00,1
4,W주점,04.05 (금),영업시간: 16:00 - 06:00,1
5,W주점,04.06 (토),영업시간: 16:00 - 06:00,1
6,W주점,04.07 (일),영업시간: 16:00 - 06:00,1
0,육성회비,[오늘] 04.01 (월),영업시간: 17:00 - 00:00,1.0
1,육성회비,04.02 (화),영업시간: 17:00 - 00:00,1.0
2,,,,
3,육성회비,04.03 (수),영업시간: 17:00 - 00:00,1.0
4,,,,
5,육성회비,04.04 (목),영업시간: 17:00 - 00:00,1.0
6,,,,
7,육성회비,04.05 (금),영업시간: 17:00 - 00:00,1.0
8,,,,
9,육성회비,04.06 (토),영업시간: 17:00 - 00:00,1.0
10,,,,
11,육성회비,04.07 (일),영업시간: 17:00 - 00:00,1.0
12,,,,
0,제주올레포차 본점 숨비소리,[오늘] 04.01 (월),영업시간: 16:00 - 02:30,1
1,제주올레포차 본점 숨비소리,04.02 (화),영업시간: 16:00 - 02:30,1
2,제주올레포차 본점 숨비소리,04.03 (수),영업시간: 16:00 - 02:30,1
3,제주올레포차 본점 숨비소리,04.04 (목),영업시간: 16:00 - 02:30,1
4,제주올레포차 본점 숨비소리,04.05 (금),영업시간: 16:00 - 02:30,1
5,제주올레포차 본점 숨비소리,04.06 (토),영업시간: 16:00 - 02:30,1
6,제주올레포차 본점 숨비소리,04.07 (일),휴무일,1
0,아일랜드유끼펍,[오늘] 04.01 (월),영업시간: 17:00 - 05:00,1
1,아일랜드유끼펍,04.02 (화),영업시간: 17:00 - 05:00,1
2,아일랜드유끼펍,04.03 (수),영업시간: 17:00 - 05:00,1
3,아일랜드유끼펍,04.04 (목),영업시간: 17:00 - 05:00,1
4,아일랜드유끼펍,04.05 (금),영업시간: 17:00 - 05:00,1
5,아일랜드유끼펍,04.06 (토),영업시간: 17:00 - 05:00,1
6,아일랜드유끼펍,04.07 (일),영업시간: 17:00 - 05:00,1
0,설맥 건대점,[오늘] 04.01 (월),영업시간 확인 필요,1
1,설맥 건대점,04.02 (화),확인 필요,1
2,설맥 건대점,04.03 (수),확인 필요,1
3,설맥 건대점,04.04 (목),확인 필요,1
4,설맥 건대점,04.05 (금),확인 필요,1
5,설맥 건대점,04.06 (토),확인 필요,1
6,설맥 건대점,04.07 (일),확인 필요,1
0,짱구야학교가자 건대점,[오늘] 04.01 (월),영업시간: 17:00 - 03:00,1
1,짱구야학교가자 건대점,04.02 (화),영업시간: 17:00 - 03:00,1
2,짱구야학교가자 건대점,04.03 (수),영업시간: 17:00 - 03:00,1
3,짱구야학교가자 건대점,04.04 (목),영업시간: 17:00 - 03:00,1
4,짱구야학교가자 건대점,04.05 (금),영업시간: 16:00 - 03:00,1
5,짱구야학교가자 건대점,04.06 (토),영업시간: 16:00 - 03:00,1
6,짱구야학교가자 건대점,04.07 (일),영업시간: 17:00 - 03:00,1
0,심마니,[오늘] 04.01 (월),영업시간: 14:00 - 04:00,1
